date,theme,season,feast,description,class,liturgical-colour,translated,spb,emberogation,bishop,year-from,year-to,rcl,daily
28/05/2021,green,Pentecost,Friday after the Day of Pentecost (Whitsunday),Feria,,Green,,,Ember day,,2020,2021,B,1
29/05/2021,green,Pentecost,Saturday after the Day of Pentecost (Whitsunday),Feria; Eve of Trinity Sunday,,Green,,,Ember day,,2020,2021,B,1
30/05/2021,white,Pentecost,Trinity Sunday,Pentecost 1,2,White,,,,,2020,2021,B,1
31/05/2021,white,Pentecost,The Visit of St Mary to St Elizabeth,,4,White,,,,,2020,2021,B,1
01/06/2021,red,Pentecost,St Justin of Rome,"Martyr, c.165",6,Red,,,,,2020,2021,B,1
02/06/2021,green,Pentecost,Wednesday after Trinity Sunday,Feria,,Green,,,,,2020,2021,B,1
03/06/2021,white,Pentecost,Corpus Christi,Thanksgiving for Holy Communion,5,White,,,,,2020,2021,B,1
04/06/2021,white,Pentecost,Pope John XXIII,"Bishop of Rome, Reformer, 1963",6,White,,,,,2020,2021,B,1
05/06/2021,red,Pentecost,St Boniface of Mainz,"Bishop, Missionary and Martyr, 754",6,Red,,,,,2020,2021,B,1
06/06/2021,green,Pentecost,Second Sunday after Pentecost,Pentecost 2,3,Green,,SPB Trinity 1,,,2020,2021,B,1
07/06/2021,green,Pentecost,Monday after Pentecost 2,Feria,,Green,,,,,2020,2021,B,1
08/06/2021,white,Pentecost,St Ephrem the Syrian,"Deacon and Teacher of the Faith, 373",6,White,,,,,2020,2021,B,1
09/06/2021,white,Pentecost,St Columba of Iona,"Abbot, 597",4,White,,,,,2020,2021,B,1
10/06/2021,green,Pentecost,Thursday after Pentecost 2,Feria,,Green,,,,,2020,2021,B,1
11/06/2021,red,Pentecost,St Barnabus,Apostle,4,Red,,,,,2020,2021,B,1
12/06/2021,white,Pentecost,"John Skinner, priest and John Skinner, bishop","Priest, 1807 and Bishop, 1816",6,White,,,,,2020,2021,B,1
13/06/2021,green,Pentecost,Third Sunday after Pentecost,Pentecost 3,3,Green,,SPB Trinity 2,,,2020,2021,B,1
14/06/2021,white,Pentecost,"St&nbsp;Basil of Caesarea, 379; St&nbsp;Gregory of Nazianzus, c.390; St&nbsp;Gregory of Nyssa, 394",Bishops and Teachers of the Faith,6,White,,,,,2020,2021,B,1
15/06/2021,green,Pentecost,Tuesday after Pentecost 3,Feria,,Green,,,,,2020,2021,B,1
16/06/2021,green,Pentecost,Wednesday after Pentecost 3,Feria,,Green,,,,,2020,2021,B,1
17/06/2021,green,Pentecost,Thursday after Pentecost 3,Feria,,Green,,,,,2020,2021,B,1
18/06/2021,red,Pentecost,Bernard Mizeki,"Martyr, 1896",6,Red,,,,,2020,2021,B,1
19/06/2021,green,Pentecost,Saturday after Pentecost 3,Feria,,Green,,,,,2020,2021,B,1
20/06/2021,green,Pentecost,Fourth Sunday after Pentecost,Pentecost 4,3,Green,,SPB Trinity 3,,,2020,2021,B,1
21/06/2021,red,Pentecost,St Fillan,"Abbot, c.750",6,Red,Translated from 20 June,,,,2020,2021,B,1
22/06/2021,red,Pentecost,St Alban,"Martyr, c.303",6,Red,,,,,2020,2021,B,1
23/06/2021,green,Pentecost,Wednesday after Pentecost 4,Feria,,Green,,,,,2020,2021,B,1
24/06/2021,white,Pentecost,The Birth of St John the Baptist,,4,White,,,,,2020,2021,B,1
25/06/2021,white,Pentecost,St Moluag of Lismore,"Bishop, 592",6,White,,,,,2020,2021,B,1
26/06/2021,white,Pentecost,Robert Leighton,"Bishop, 1684",6,White,,,,,2020,2021,B,1
27/06/2021,green,Pentecost,Fifth Sunday after Pentecost,Pentecost 5,3,Green,,SPB Trinity 4,,,2020,2021,B,1
28/06/2021,white,Pentecost,St Irenaeus of Lyons,"Bishop and Teacher of the Faith, c.202",6,White,,,,,2020,2021,B,1
29/06/2021,red,Pentecost,St Peter (or St Peter and St Paul),Apostles,4,Red,,,,,2020,2021,B,1
30/06/2021,white,Pentecost,Alexander Jolly,"Bishop, 1838",6,White,Translated from 27 June,,,,2020,2021,B,1
01/07/2021,white,Pentecost,St Serf,"Bishop, c.500",6,White,,,,,2020,2021,B,1
02/07/2021,green,Pentecost,Friday after Pentecost 5,Feria,,Green,,,,,2020,2021,B,1
03/07/2021,red,Pentecost,St Thomas,Apostle,4,Red,If not kept on 21 December,,,,2020,2021,B,1
04/07/2021,green,Pentecost,Sixth Sunday after Pentecost,Pentecost 6,3,Green,,SPB Trinity 5,,,2020,2021,B,1
05/07/2021,green,Pentecost,Monday after Pentecost 6,Feria,,Green,,,,,2020,2021,B,1
06/07/2021,white,Pentecost,St Palladius,"Bishop, c.450",6,White,,,,,2020,2021,B,1
07/07/2021,white,Pentecost,St Boisil,"Prior of Melrose, c.642",6,White,,,,,2020,2021,B,1
08/07/2021,green,Pentecost,Thursday after Pentecost 6,Feria,,Green,,,,,2020,2021,B,1
09/07/2021,green,Pentecost,Friday after Pentecost 6,Feria,,Green,,,,,2020,2021,B,1
10/07/2021,green,Pentecost,Saturday after Pentecost 6,Feria,,Green,,,,,2020,2021,B,1
11/07/2021,green,Pentecost,Seventh Sunday after Pentecost,Pentecost 7,3,Green,,SPB Trinity 6,,,2020,2021,B,1
12/07/2021,white,Pentecost,St Drostan of Deer,"Abbot, c.600",6,White,,,,,2020,2021,B,1
13/07/2021,white,Pentecost,St Benedict of Nursia,"Abbot, c.550",6,White,Translated from 11 July,,,,2020,2021,B,1
14/07/2021,green,Pentecost,Wednesday after Pentecost 7,Feria,,Green,,,,,2020,2021,B,1
15/07/2021,green,Pentecost,Thursday after Pentecost 7,Feria,,Green,,,,,2020,2021,B,1
16/07/2021,green,Pentecost,Friday after Pentecost 7,Feria,,Green,,,,,2020,2021,B,1
17/07/2021,green,Pentecost,Saturday after Pentecost 7,Feria,,Green,,,,,2020,2021,B,1
18/07/2021,green,Pentecost,Eighth Sunday after Pentecost,Pentecost 8,3,Green,,SPB Trinity 7,,,2020,2021,B,1
19/07/2021,green,Pentecost,Monday after Pentecost 8,Feria,,Green,,,,,2020,2021,B,1
20/07/2021,green,Pentecost,Tuesday after Pentecost 8,Feria,,Green,,,,,2020,2021,B,1
21/07/2021,white,Pentecost,William Wilberforce,"Politician and Philanthropist, 1833",6,White,,,,,2020,2021,B,1
22/07/2021,white,Pentecost,St Mary Magdalene,,4,White,,,,,2020,2021,B,1
23/07/2021,green,Pentecost,Friday after Pentecost 8,Feria,,Green,,,,,2020,2021,B,1
24/07/2021,green,Pentecost,Saturday after Pentecost 8,Feria,,Green,,,,,2020,2021,B,1
25/07/2021,green,Pentecost,Ninth Sunday after Pentecost,Pentecost 9,3,Green,,SPB Trinity 8,,,2020,2021,B,1
26/07/2021,red,Pentecost,St James,Apostle,4,Red,Translated from 25 July,,,,2020,2021,B,1
27/07/2021,white,Pentecost,John Comper,"Priest, 1903",6,White,,,,,2020,2021,B,1
