Import file template field,Start date,,SUBJECT,SUBJECT,SUBJECT,DESCRIPTION,DESCRIPTION,DESCRIPTION,,DESCRIPTION,DESCRIPTION,
Friday,2023-08-18,,Friday after Pentecost 11,,,,"Friday 18 August 2023

Friday after Pentecost 11
Week of Proper 19
Year A/1

DAILY EUCHARIST
Joshua 24:1-13
Psalm 136:1-3, 16-22
Matthew 19:3-12

DAILY PRAYER: Week D
2 Samuel 15:19-37
Acts 21:37 - 22:16
Mark 10:46-52

COLLECT
Open your merciful ears, O Lord, 
to the prayers of your humble servants: 
and, that you would graciously grant what we ask,
make us desire what is pleasing in your sight;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Saturday,2023-08-19,,Saturday after Pentecost 11,,,,"Saturday 19 August 2023

Saturday after Pentecost 11
Week of Proper 19
Year A/1

DAILY EUCHARIST
Joshua 24:14-29
Psalm 16:1, 5-11
Matthew 19:13-15

DAILY PRAYER: Week D
2 Samuel 16:1-23
Acts 22:17-29
Mark 11:1-11

COLLECT
Open your merciful ears, O Lord, 
to the prayers of your humble servants: 
and, that you would graciously grant what we ask,
make us desire what is pleasing in your sight;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Sunday,2023-08-20,,Pentecost 12 [3] Green; SPB Trinity 11,,,,"Sunday 20 August 2023

Pentecost 12 [3] Green
SPB Trinity 11
Week of Proper 20
Year A/1

EUCHARIST

Continuous:
Genesis 45:1-15
Psalm 133
Romans 11:1-2a, 29-32
Matthew 15:(10-20), 21-28

Thematic:
Isaiah 56:1, 6-8
Psalm 67
Romans 11:1-2a, 29-32
Matthew 15:(10-20), 21-28

DAILY PRAYER: Week A
2 Kings 4:(1-7), 8-37
Acts 16:1-15
John 6:51-58

ALTERNATIVE PSALMS
Morning: Psalm 90
Evening: Psalm 92

COLLECT
O God, you make known your almighty power 
in your merciful compassion:
increase your mercy towards us;
that we, being eager for your promises, 
may inherit the treasures of heaven; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Monday,2023-08-21,,"Bernard of Clairvaux, Abbot and Teacher of the Faith, 1153 [6] White (translated from 20 August)",,,,"Monday 21 August 2023

Bernard of Clairvaux, Abbot and Teacher of the Faith, 1153 [6] White (translated from 20 August)
Monday after Pentecost 12
Week of Proper 20
Year A/1

DAILY EUCHARIST
Judges 2:11-19
Psalm 51:1-10
Matthew 19:16-22

DAILY PRAYER: Week A
2 Samuel 17:24 - 18:8
Acts 22:30 - 23:11
Mark 11:12-26

COLLECT
O God, you make known your almighty power 
in your merciful compassion:
increase your mercy towards us;
that we, being eager for your promises, 
may inherit the treasures of heaven; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Tuesday,2023-08-22,,Tuesday after Pentecost 12,,,,"Tuesday 22 August 2023

Tuesday after Pentecost 12
Week of Proper 20
Year A/1

DAILY EUCHARIST
Judges 5:11-24a
Psalm 85:8-13
Matthew 19:23-30

DAILY PRAYER: Week A
2 Samuel 18:9-18
Acts 23:12-24
Mark 11:27 - 12:12

COLLECT
O God, you make known your almighty power 
in your merciful compassion:
increase your mercy towards us;
that we, being eager for your promises, 
may inherit the treasures of heaven; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Wednesday,2023-08-23,,Wednesday after Pentecost 12,,,,"Wednesday 23 August 2023

Wednesday after Pentecost 12
Week of Proper 20
Year A/1

DAILY EUCHARIST
Judges 9:6-15
Psalm 21:1-6
Matthew 20:1-16a

DAILY PRAYER: Week A
2 Samuel 18:19-33
Acts 23:23-35
Mark 12:13-27

COLLECT
O God, you make known your almighty power 
in your merciful compassion:
increase your mercy towards us;
that we, being eager for your promises, 
may inherit the treasures of heaven; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Thursday,2023-08-24,,"Bartholomew, Apostle [4] Red",,,,"Thursday 24 August 2023

Bartholomew, Apostle [4] Red
Week of Proper 20
Year A/1

EUCHARIST
Deuteronomy 18:15-18 or Isaiah 43:8-13
Psalm 91 or Psalm 145:1-7
1 Corinthians 4:9-15
Luke 22:24-30

MORNING PRAYER: Festivals
Genesis 28:10-17
John 1:43-51

EVENING PRAYER: Festivals
Isaiah 66:1-2, 18-23
1 Peter 5:1-11

COLLECT
Almighty and everlasting God,
who gave grace to your apostle Bartholomew
to believe and preach your word:
grant to your Church, we pray,
both to love what he believed,
and to preach what he taught;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Thursday after Pentecost 12
Week of Proper 20
Year A/1

DAILY EUCHARIST
Judges 11:29-40
Psalm 130
Matthew 22:1-14

DAILY PRAYER: Week A
2 Samuel 19:1-23
Acts 24:1-23
Mark 12:28-34

COLLECT
O God, you make known your almighty power 
in your merciful compassion:
increase your mercy towards us;
that we, being eager for your promises, 
may inherit the treasures of heaven; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Friday,2023-08-25,,"Ebba of Coldingham, Abbess, 683 [6] White",,,,"Friday 25 August 2023

Ebba of Coldingham, Abbess, 683 [6] White
Friday after Pentecost 12
Ordination of the Rt Revd Andrew Swift as Bishop of Brechin, 2018

Week of Proper 20
Year A/1

DAILY EUCHARIST
Ruth:1-22
Psalm 146
Matthew 22:34-40

DAILY PRAYER: Week A
2 Samuel 19:24-43
Acts 24:24 - 25:12
Mark 12:35-44

COLLECT
O God, you make known your almighty power 
in your merciful compassion:
increase your mercy towards us;
that we, being eager for your promises, 
may inherit the treasures of heaven; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Saturday,2023-08-26,,Saturday after Pentecost 12,,,,"Saturday 26 August 2023

Saturday after Pentecost 12
Week of Proper 20
Year A/1

DAILY EUCHARIST
Ruth 2:1-11; 4:13-17
Psalm 128
Matthew 23:1-12

DAILY PRAYER: Week A
2 Samuel 23:1-7, 13-17
Acts 25:13-27
Mark 13:1-13

COLLECT
O God, you make known your almighty power 
in your merciful compassion:
increase your mercy towards us;
that we, being eager for your promises, 
may inherit the treasures of heaven; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Sunday,2023-08-27,,Pentecost 13 [3] Green; SPB Trinity 12,,,,"Sunday 27 August 2023

Pentecost 13 [3] Green
SPB Trinity 12
Week of Proper 21
Year A/1

EUCHARIST

Continuous:
Exodus 1:8 - 2:10
Psalm 124
Romans 12:1-8
Matthew 16:13-20

Thematic:
Isaiah 51:1-6
Psalm 138
Romans 12:1-8
Matthew 16:13-20

DAILY PRAYER: Week B
2 Kings 6:8-23
Acts 17:15-34
John 6:56-69

ALTERNATIVE PSALMS
Morning: Psalm 95
Evening: Psalm 116

COLLECT
Almighty and eternal God, 
by your generous love 
you grant to those who pray 
more than is desired or deserved: 
pour down your mercy upon us,
forgiving what our conscience fears, 
and granting what we dare not ask;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Monday,2023-08-28,,"Augustine of Hippo, Bishop and Teacher of the Faith, 430 [6] White",,,,"Monday 28 August 2023

Augustine of Hippo, Bishop and Teacher of the Faith, 430 [6] White
Monday after Pentecost 13
Week of Proper 21
Year A/1

DAILY EUCHARIST
1 Thessalonians 1:1-10
Psalm 149:1-5
Matthew 23:13-22

DAILY PRAYER: Week B
1 Kings 1:5-31
Acts 26:1-23
Mark 13:14-27

COLLECT
Almighty and eternal God, 
by your generous love 
you grant to those who pray 
more than is desired or deserved: 
pour down your mercy upon us,
forgiving what our conscience fears, 
and granting what we dare not ask;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Tuesday,2023-08-29,,The Beheading of John the Baptist [4] Red,,,,"Tuesday 29 August 2023

The Beheading of John the Baptist [4] Red
Week of Proper 21
Year A/1

EUCHARIST
2 Chronicles 24:17-21
Psalm 71:1-6, 15-17
Hebrews 11:32-40
Mark 6:17-29

MORNING PRAYER: Festivals
Jeremiah 38:1-6
Revelation 7:13-17

EVENING PRAYER: Festivals
Judges 16:28-30
1 Peter 3:13-18

COLLECT
O God, 
who called Saint John the Baptist 
to be both in birth and death the forerunner of your Son: 
grant that, as he was slain for truth and justice, 
so we may boldly resist corruption and vice, 
and receive with him the unfading crown of glory;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Tuesday after Pentecost 13
Week of Proper 21
Year A/1

DAILY EUCHARIST
1 Thessalonians 2:1-8
Psalm 139:1-9
Matthew 23:23-26

DAILY PRAYER: Week B
1 Kings 1:38 - 2:4
Acts 26:24 - 27:8
Mark 13:28-37

COLLECT
Almighty and eternal God, 
by your generous love 
you grant to those who pray 
more than is desired or deserved: 
pour down your mercy upon us,
forgiving what our conscience fears, 
and granting what we dare not ask;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Wednesday,2023-08-30,,"Monnica, Mother of Augustine of Hippo, 387 [6] White (translated from 27 August)",,,,"Wednesday 30 August 2023

Monnica, Mother of Augustine of Hippo, 387 [6] White (translated from 27 August)
Wednesday after Pentecost 13
Week of Proper 21
Year A/1

DAILY EUCHARIST
1 Thessalonians 2:9-13
Psalm 126
Matthew 23:27-32

DAILY PRAYER: Week B
1 Kings 3:1-15
Acts 27:9-26
Mark 14:1-11

COLLECT
Almighty and eternal God, 
by your generous love 
you grant to those who pray 
more than is desired or deserved: 
pour down your mercy upon us,
forgiving what our conscience fears, 
and granting what we dare not ask;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Thursday,2023-08-31,,"Aidan of Lindisfarne, Bishop, 651 [6] White",,,,"Thursday 31 August 2023

Aidan of Lindisfarne, Bishop, 651 [6] White
Thursday after Pentecost 13
Week of Proper 21
Year A/1

DAILY EUCHARIST
1 Thessalonians 3:6-13
Psalm 90:13-17
Matthew 24:42-51

DAILY PRAYER: Week B
1 Kings 3:16-28
Acts 27:27-44
Mark 14:12-26

COLLECT
Almighty and eternal God, 
by your generous love 
you grant to those who pray 
more than is desired or deserved: 
pour down your mercy upon us,
forgiving what our conscience fears, 
and granting what we dare not ask;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Friday,2023-09-01,,Friday after Pentecost 13,,,,"Friday 1 September 2023

Friday after Pentecost 13
Week of Proper 21
Year A/1

DAILY EUCHARIST
1 Thessalonians 4:1-8
Psalm 97
Matthew 25:1-13

DAILY PRAYER: Week B
1 Kings 5:1 - 6:1, 7
Acts 28:1-16
Mark 14:27-42

COLLECT
Almighty and eternal God, 
by your generous love 
you grant to those who pray 
more than is desired or deserved: 
pour down your mercy upon us,
forgiving what our conscience fears, 
and granting what we dare not ask;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Saturday,2023-09-02,,"The Martyrs of New Guinea, 1942 [6] Red",,,,"Saturday 2 September 2023

The Martyrs of New Guinea, 1942 [6] Red
Saturday after Pentecost 13
Week of Proper 21
Year A/1

DAILY EUCHARIST
1 Thessalonians 4:9-12
Psalm 98
Matthew 25:14-30

DAILY PRAYER: Week B
1 Kings 7:51 - 8:21
Acts 28:17-31
Mark 14:43-52

COLLECT
Almighty and eternal God, 
by your generous love 
you grant to those who pray 
more than is desired or deserved: 
pour down your mercy upon us,
forgiving what our conscience fears, 
and granting what we dare not ask;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Sunday,2023-09-03,,Pentecost 14 [3] Green; SPB Trinity 13,,,,"Sunday 3 September 2023

Pentecost 14 [3] Green
SPB Trinity 13
Week of Proper 22 (Creation Week 1)
Year A/1

EUCHARIST

Continuous:
Exodus 3:1-15
Psalm 105:1-6, 23-26, 45c
Romans 12:9-21
Matthew 16:21-28

Thematic:
Jeremiah 15:15-21
Psalm 26:1-8
Romans 12:9-21
Matthew 16:21-28

DAILY PRAYER: Creation Week 1
2 Kings 6:24-25; 7:3-20
Acts 18:1-16
Mark 7:1-8, 14-15, 21-23

ALTERNATIVE PSALMS
Morning: Psalm 105:1-15
Evening: Psalm 119:(1-8), 9-16

COLLECT
Almighty and merciful God, 
by whose grace alone 
your faithful people offer you service and praise:
grant that we may hasten without stumbling 
towards the things that you promise; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
ever one God, world without end.",,,,,
Monday,2023-09-04,,"Gregory the Great, Bishop and Teacher of the Faith, 604 [6] White (translated from 3 September)",,,,"Monday 4 September 2023

Gregory the Great, Bishop and Teacher of the Faith, 604 [6] White (translated from 3 September)
Monday after Pentecost 14
Week of Proper 22
DP Creation Week 1
Year A/1

DAILY EUCHARIST
1 Thessalonians 4:13-18
Psalm 96
Luke 4:16-30

DAILY PRAYER: Creation Week 1 
2 Chronicles 6:32 - 7:7
James 2:1-13
Mark 14:53-65

COLLECT
Almighty and merciful God, 
by whose grace alone 
your faithful people offer you service and praise:
grant that we may hasten without stumbling 
towards the things that you promise; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
ever one God, world without end.",,,,,
Tuesday,2023-09-05,,Tuesday after Pentecost 14,,,,"Tuesday 5 September 2023

Tuesday after Pentecost 14
Week of Proper 22
DP Creation Week 1
Year A/1

DAILY EUCHARIST
1 Thessalonians 5:1-11
Psalm 27:1-6, 17-18
Luke 4:31-37

DAILY PRAYER: Creation Week 1
1 Kings 8:65 - 9:9
James 2:14-26
Mark 14:66-72

COLLECT
Almighty and merciful God, 
by whose grace alone 
your faithful people offer you service and praise:
grant that we may hasten without stumbling 
towards the things that you promise; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
ever one God, world without end.",,,,,
Wednesday,2023-09-06,,Wednesday after Pentecost 14,,,,"Wednesday 6 September 2023

Wednesday after Pentecost 14
Week of Proper 22
DP Creation Week 1
Year A/1

DAILY EUCHARIST
Colossians 1:1-8
Psalm 34:9-22
Luke 4:38-44

DAILY PRAYER: Creation Week 1 
1 Kings 9:24 - 10:13
James 3:1-12
Mark 15:1-11

COLLECT
Almighty and merciful God, 
by whose grace alone 
your faithful people offer you service and praise:
grant that we may hasten without stumbling 
towards the things that you promise; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
ever one God, world without end.",,,,,
Thursday,2023-09-07,,Thursday after Pentecost 14,,,,"Thursday 7 September 2023

Thursday after Pentecost 14
Week of Proper 22
DP Creation Week 1
Year A/1

DAILY EUCHARIST
Colossians 1:9-14
Psalm 98
Luke 5:1-11

DAILY PRAYER: Creation Week 1 
1 Kings 11:1-13
James 3:13 - 4:12
Mark 15:12-21

COLLECT
Almighty and merciful God, 
by whose grace alone 
your faithful people offer you service and praise:
grant that we may hasten without stumbling 
towards the things that you promise; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
ever one God, world without end.",,,,,
Friday,2023-09-08,,"The Birth of Mary, Mother of the Lord [5] White",,,,"Friday 8 September 2023

The Birth of Mary, Mother of the Lord [5] White

Common readings for saints' days
MARY, MOTHER OF THE LORD

Genesis 3:9-15, 20
Psalm 45:10-17
Acts 1:12-14
Luke 1:26-38

or

Isaiah 7:10-14
Psalm 113
Romans 8:18-30
Luke 1:39-47

or

Micah 5:1-4
Psalm 131
Galatians 4:4-7
John 19:25-27

COLLECT
Almighty God,
who looked with favour on your servant Mary
and called her to be the mother of your Son:
grant us, we pray, 
the humility which found favour in your sight;
that we, with her, may proclaim the greatness of your name,
and find the mercy shown to those who stand in awe of you;
through Jesus Christ, our Lord, 
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Friday after Pentecost 14
Week of Proper 22
DP Creation Week 1
Year A/1

DAILY EUCHARIST
Colossians 1:15-20
Psalm 100
Luke 5:33-39

DAILY PRAYER: Creation Week 1 
1 Kings 11:26-43
James 4:13 - 5:6
Mark 15:22-32

COLLECT
Almighty and merciful God, 
by whose grace alone 
your faithful people offer you service and praise:
grant that we may hasten without stumbling 
towards the things that you promise; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
ever one God, world without end.",,,,,
Saturday,2023-09-09,,Saturday after Pentecost 14,,,,"Saturday 9 September 2023

Saturday after Pentecost 14
Week of Proper 22
DP Creation Week 1
Year A/1

DAILY EUCHARIST
Colossians 1:21-23
Psalm 54
Luke 6:1-5

DAILY PRAYER: Creation Week 1
1 Kings 12:1-20
James 5:7-12, 19-20
Mark 15:33-39

COLLECT
Almighty and merciful God, 
by whose grace alone 
your faithful people offer you service and praise:
grant that we may hasten without stumbling 
towards the things that you promise; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
ever one God, world without end.",,,,,
Sunday,2023-09-10,,Pentecost 15 [3] Green; SPB Trinity 14,,,,"Sunday 10 September 2023

Pentecost 15 [3] Green
SPB Trinity 14
Week of Proper 23
Creation Week 2
Year A/1

EUCHARIST

Continuous:
Exodus 12:1-14
Psalm 149
Romans 13:8-14
Matthew 18:15-20

Thematic:
Ezekiel 33:7-11
Psalm 119:33-40
Romans 13:8-14
Matthew 18:15-20

DAILY PRAYER: Creation Week 2 
Ezekiel 12:21 - 13:16
Acts 19:1-20
Mark 7:24-37

ALTERNATIVE PSALMS
Morning: Psalm 108
Evening: Psalm 119:(41-48), 49-56

COLLECT
Almighty and eternal God, 
make us grow in faith, hope and charity: 
and that we may be worthy of your promises, 
cause us to love what you command; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Monday,2023-09-11,,Monday after Pentecost 15,,,,"Monday 11 September 2023

Monday after Pentecost 15
Week of Proper 23
Creation Week 2
Year A/1

DAILY EUCHARIST
Colossians 1:24 - 2:3
Psalm 62:1-7
Luke 6:6-11

DAILY PRAYER: Creation Week 2 
1 Kings 13:1-10
Philippians 1:1-11
Mark 15:40-47

COLLECT
Almighty and eternal God, 
make us grow in faith, hope and charity: 
and that we may be worthy of your promises, 
cause us to love what you command; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Tuesday,2023-09-12,,Tuesday after Pentecost 15,,,,"Tuesday 12 September 2023

Tuesday after Pentecost 15
Week of Proper 23
Creation Week 2
Year A/1

DAILY EUCHARIST
Colossians 2:6-15
Psalm 145:1-9
Luke 6:12-19

DAILY PRAYER: Creation Week 2 
1 Kings 16:23-34
Philippians 1:12-30
Mark 16:1-8, (9-20)

COLLECT
Almighty and eternal God, 
make us grow in faith, hope and charity: 
and that we may be worthy of your promises, 
cause us to love what you command; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Wednesday,2023-09-13,,"Cyprian of Carthage, Bishop and Martyr, 258 [6] Red",,,,"Wednesday 13 September 2023

Cyprian of Carthage, Bishop and Martyr, 258 [6] Red
Wednesday after Pentecost 15
Week of Proper 23
Creation Week 2
Year A/1

DAILY EUCHARIST
Colossians 3:1-11
Psalm 145:10-13
Luke 6:20-26

DAILY PRAYER: Creation Week 2 
1 Kings 17:1-24
Philippians 2:1-11
Matthew 2:1-12

COLLECT
Almighty and eternal God, 
make us grow in faith, hope and charity: 
and that we may be worthy of your promises, 
cause us to love what you command; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Thursday,2023-09-14,,Holy Cross Day [5] White or Red,,,,"Thursday 14 September 2023

Holy Cross Day [5] White or Red
Week of Proper 23
Creation Week 2
Year A/1

EUCHARIST
Numbers 21:4-9
Psalm 98:1-5 or Psalm 22:23-28
1 Corinthians 1:18-24 or Philippians 2:6-11
John 3:13-17

MORNING PRAYER: Festivals
Numbers 21:4-9 or Zechariah 12:8 - 13:1
John 3:11-17 or Galatians 6:11-18

EVENING PRAYER: Festivals
Genesis 3:1-15
1 Peter 3:17-22

COLLECT
O God, 
whom it has pleased to redeem the human race 
through the precious blood of your Only-begotten Son, 
our Lord Jesus Christ: 
mercifully grant, that we, 
who rejoice in the life-giving Cross,  
might die to our sins and live for righteousness;
through the same Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Thursday after Pentecost 15
Week of Proper 23
Creation Week 2
Year A/1

DAILY EUCHARIST
Colossians 3:12-17
Psalm 150
Luke 6:27-38

DAILY PRAYER: Creation Week 2 
1 Kings 18:1-19
Philippians 2:12-30
Matthew 2:13-23

COLLECT
Almighty and eternal God, 
make us grow in faith, hope and charity: 
and that we may be worthy of your promises, 
cause us to love what you command; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Friday,2023-09-15,,Friday after Pentecost 15,,,,"Friday 15 September 2023

Friday after Pentecost 15
Week of Proper 23
Creation Week 2
Year A/1

DAILY EUCHARIST
1 Thessalonians 1:1-2, 12-14
Psalm 16
Luke 6:39-42

DAILY PRAYER: Creation Week 2 
1 Kings 18:20-40
Philippians 3:1-16
Matthew 3:1-12

COLLECT
Almighty and eternal God, 
make us grow in faith, hope and charity: 
and that we may be worthy of your promises, 
cause us to love what you command; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Saturday,2023-09-16,,"Ninian of Whithorn, Bishop, 432 [4] White",,,,"Saturday 16 September 2023

Ninian of Whithorn, Bishop, 432 [4] White
Week of Proper 23
Creation Week 2
Year A/1

EUCHARIST
Jeremiah 1:4-9
Psalm 67
1 Thessalonians 2:2-12 or 2 Corinthians 5:17 - 6:2
Matthew 9:35-38 or Matthew 28:16-20

MORNING PRAYER: Festivals
Ezekiel 34:20-31
1 Thessalonians 5:12-24

EVENING PRAYER: Festivals
Isaiah 52:7-12
John 15:12-17

COLLECT
Almighty God, 
who through the preaching of your holy bishop, Ninian,
made the light of the gospel shine in our land: 
grant that we too, by that same gospel,
may be filled with the light of your truth, 
and come to know the joys of the heavenly life;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Saturday after Pentecost 15
Week of Proper 23
Creation Week 2
Year A/1

DAILY EUCHARIST
1 Thessalonians 1:15-17
Psalm 113
Luke 6:43-49

DAILY PRAYER: Creation Week 2 
1 Kings 18:41 - 19:8
Philippians 3:17 - 4:7
Matthew 3:13-17

COLLECT
Almighty and eternal God, 
make us grow in faith, hope and charity: 
and that we may be worthy of your promises, 
cause us to love what you command; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Sunday,2023-09-17,,Pentecost 16 [3] Green; SPB Trinity 15,,,,"Sunday 17 September 2023

Pentecost 16 [3] Green
SPB Trinity 15
Week of Proper 24
Creation Week 3
Year A/1

EUCHARIST

Continuous:
Exodus 14:19-31
Psalm 114 or Exodus 15:1b-11, 20-21
Romans 14:1-12
Matthew 18:21-35

Thematic:
Genesis 50:15-21
Psalm 103:(1-7), 8-13
Romans 14:1-12
Matthew 18:21-35

DAILY PRAYER: Creation Week 3 
Ezekiel 20:1-8, 33-44
Acts 20:17-38
Mark 8:27-38

ALTERNATIVE PSALMS
Morning: Psalm 119:41-48, (49-64)
Evening: Psalm 119:(73-80), 81-88

COLLECT
Guard your Church, O Lord, 
with your perpetual mercy: 
and since without your aid we lose our way, 
draw us always, by your help, away from harm, 
and steer us towards salvation; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Monday,2023-09-18,,"Hildegard of Bingen, Abbess, 1179 [6] White (translated from 17 September)",,,,"Monday 18 September 2023

Hildegard of Bingen, Abbess, 1179 [6] White (translated from 17 September)
Monday after Pentecost 16
Week of Proper 24
Creation Week 3
Year A/1

DAILY EUCHARIST
1 Timothy 2:1-8
Psalm 28
Luke 7:1-10

DAILY PRAYER: Creation Week 3 
1 Kings 21:1-16
1 Corinthians 1:1-19
Matthew 4:1-11

COLLECT
Guard your Church, O Lord, 
with your perpetual mercy: 
and since without your aid we lose our way, 
draw us always, by your help, away from harm, 
and steer us towards salvation; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Tuesday,2023-09-19,,Tuesday after Pentecost 16,,,,"Tuesday 19 September 2023

Tuesday after Pentecost 16
Week of Proper 24
Creation Week 3
Year A/1

DAILY EUCHARIST
1 Timothy 3:1-13
Psalm 101
Luke 7:11-17

DAILY PRAYER: Creation Week 3 
1 Kings 21:17-29
1 Corinthians 1:20-31
Matthew 4:12-17

COLLECT
Guard your Church, O Lord, 
with your perpetual mercy: 
and since without your aid we lose our way, 
draw us always, by your help, away from harm, 
and steer us towards salvation; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Wednesday,2023-09-20,,"John Coleridge Patteson, Bishop and Martyr, 1871 [6] Red (Ember day)",,,,"Wednesday 20 September 2023

John Coleridge Patteson, Bishop and Martyr, 1871 [6] Red (Ember day)
Wednesday after Pentecost 16
Week of Proper 24
Creation Week 3
Year A/1

DAILY EUCHARIST
1 Timothy 3:14-16
Psalm 111:1-6
Luke 7:31-35

DAILY PRAYER: Creation Week 3 
1 Kings 22:1-28
1 Corinthians 2:1-13
Matthew 4:18-25

EMBER DAY READINGS
Isaiah 44:1-8
Psalm 87
1 Peter 2:4-10
John 17:6-19

COLLECT
Guard your Church, O Lord, 
with your perpetual mercy: 
and since without your aid we lose our way, 
draw us always, by your help, away from harm, 
and steer us towards salvation; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Thursday,2023-09-21,,"Matthew, Apostle and Evangelist [4] Red",,,,"Thursday 21 September 2023

Matthew, Apostle and Evangelist [4] Red 
Week of Proper 24
Creation Week 3
Year A/1

EUCHARIST
Proverbs 6:1-6, (13-18)
Psalm 119:33-40
2 Timothy 3:14-17 or 2 Corinthians 4:1-6
Matthew 9:9-13

MORNING PRAYER: Festivals
Isaiah 8:11-20
Romans 10:1-15

EVENING PRAYER: Festivals
Job 28:12-28
Matthew 13:44-52

COLLECT
Almighty God, 
whose blessed Son called Matthew, the tax collector, 
to be an apostle and evangelist: 
give us grace so to forsake the selfish pursuit 
of gain and love of riches,
that we may follow the way of Jesus Christ, our Lord; 
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Thursday after Pentecost 16
Week of Proper 24
Creation Week 3
Year A/1

DAILY EUCHARIST
1 Timothy 4:12-16
Psalm 111:7-10
Luke 7:36-50

DAILY PRAYER: Creation Week 3 
1 Kings 22:29-45
1 Corinthians 2:14 - 3:15
Matthew 5:1-10

COLLECT
Guard your Church, O Lord, 
with your perpetual mercy: 
and since without your aid we lose our way, 
draw us always, by your help, away from harm, 
and steer us towards salvation; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
