Subject,Start Date,Start Time,End Date,End Time,All Day Event,Reminder on/off,Description,Priority,Sensitivity,Show time as
Saturday after First Sunday after Christmas,05/01/2019,,,,TRUE,FALSE,"Saturday after First Sunday after Christmas
5 January
Week of Christmas 1

DAILY EUCHARIST (White)
1 John 3:11-18
Psalm 100
John 1:43-51

MORNING PRAYER: Incarnation 
Morning:
Joshua 1:1-9
Hebrews 11:32 - 12:2
John 15:1-16

EVENING PRAYER: Incarnation 
Isaiah 66:18-22
Romans 15:7-13",Normal,Normal,3
The Epiphany [1] White,06/01/2019,,,,TRUE,FALSE,"The Epiphany [1] White
6 January

EUCHARIST
1 Isaiah 60:1-6
Psalm 72:1-7, 10-14
Ephesians 3:1-12
Matthew 2:1-12

DAILY PRAYER: Incarnation 
Isaiah 52:7-10
Revelation 21:22-27
Matthew 12:14-21",Normal,Normal,3
Monday after the Epiphany,07/01/2019,,,,TRUE,FALSE,"Monday after the Epiphany
7 January
The days following Epiphany

DAILY EUCHARIST (White)
1 John 3:18 - 4:6
Psalm 2
Matthew 4:12-17, 23-25

DAILY PRAYER: Incarnation 
Isaiah 52:3-6
Revelation 2:1-7
John 2:1-11",Normal,Normal,3
Tuesday after the Epiphany,08/01/2019,,,,TRUE,FALSE,"Tuesday after the Epiphany
8 January
The days following Epiphany

DAILY EUCHARIST (White)
1 John 4:7-12
Psalm 72:1-8
Mark 6:30-44

DAILY PRAYER: Incarnation 
Isaiah 59:15-21
Revelation 2:8-17
John 4:46-54",Normal,Normal,3
Wednesday after Epiphany,09/01/2019,,,,TRUE,FALSE,"Wednesday after Epiphany
9 January
The days following Epiphany

DAILY EUCHARIST (White)
1 John 4:11-19
Psalm 72:1-2, 10-13
Mark 6:45-52

DAILY PRAYER: Incarnation 
Isaiah 63:1-5
Revelation 2:18-29
John 5:1-15",Normal,Normal,3
"William Laud, Bishop, 1645 [6] Red",10/01/2019,,,,TRUE,FALSE,"William Laud, Bishop, 1645 [6] Red
10 January
Thursday after the Epiphany
The days following Epiphany

DAILY EUCHARIST (White)
1 John 4:19 - 5:4
Psalm 72:1-2, 14-19
Luke 4:14-22

DAILY PRAYER: Incarnation 
Isaiah 65:1-9
Revelation 3:1-6
John 6:1-14",Normal,Normal,3
"David, King of Scots, 1153 [6] Red",11/01/2019,,,,TRUE,FALSE,"David, King of Scots, 1153 [6] Red
11 January
Friday after the Epiphany
The days following Epiphany

DAILY EUCHARIST (White)
1 John 5:5-12
Psalm 147:13-21
Luke 5:12-16

DAILY PRAYER: Incarnation 
Isaiah 65:13-16
Revelation 3:7-13
John 6:15-27",Normal,Normal,3
Saturday after the Epiphany,12/01/2019,,,,TRUE,FALSE,"Saturday after the Epiphany
12 January
The days following Epiphany

DAILY EUCHARIST (White)
1 John 5:13-21
Psalm 149:1-4
John 3:22-30

DAILY PRAYER: Incarnation 
Isaiah 66:1-2, 22-23
Revelation 3:14-22
John 9:1-12, 35-38",Normal,Normal,3
First Sunday after Epiphany: The Baptism of the Lord [2] White,13/01/2019,,,,TRUE,FALSE,"First Sunday after Epiphany: The Baptism of the Lord [2] White
Week of Proper 1

EUCHARIST
Isaiah 43:1-7
Psalm 29
Acts 8:14-17
Luke 3:15-17, 21-22

DAILY PRAYER: Festivals 
Joshua 3:1-8, 14-17
Hebrews 1:1-12
Matthew 3:13-17

ALTERNATIVE PSALMS
Morning: Psalm 46
Evening: Psalm 89:20-29",Normal,Normal,3
"Kentigern (or Mungo), Bishop c.603 [4] White (translated from 13 January)",14/01/2019,,,,TRUE,FALSE,"Kentigern (or Mungo), Bishop c.603 [4] White (translated from 13 January)

EUCHARIST
Isaiah 52:7-10
Psalm 16:5-11
1 Thessalonians 2:2-12 or 1 Corinthians 9:16-19, 22-23
Matthew 28:16-20

MORNING PRAYER: Festivals
Isaiah 44:1-8
1 Thessalonians 1:2-10 or 2 Corinthians 2:12 - 3:11

EVENING PRAYER: Festivals
Sirah 50:1-24 or Isaiah 52:7-12
John 1:1-18

---

Monday after First Sunday after Epiphany
Week of Proper 1

DAILY EUCHARIST (Green)
Hebrews 1:1-6
Psalm 97
Mark 1:14-20

DAILY PRAYER: Week A 
Isaiah 40:1-17
Ephesians 1:1-14
Mark 1:1-13",Normal,Normal,3
